id,headline,label
1,Government criticized for 'reckless delay' in monsoon relief funding,1
2,India signs new bilateral trade agreement with Vietnam,0
3,Opposition accuses ruling party of 'manipulating public sentiment',1
4,NASA announces successful deployment of new climate satellite,0
5,Critics blast the city's 'failed' pollution control measures,1
6,Reserve Bank maintains repo rate for the fourth consecutive quarter,0
7,International panel warns of rising sea levels by 2030,0
8,Activists call minister's comments 'deeply irresponsible',1
9,India records highest quarterly GDP growth in three years,0
10,Report claims university policies are 'dangerously outdated',1
11,New highway project approved in northeastern region,0
12,Analysts say the government’s new scheme is 'shockingly ineffective',1
13,UN Security Council meets to discuss crisis in Sudan,0
14,Local leader accused of spreading 'misleading narratives',1
15,WHO launches initiative for improving vaccine distribution,0
16,Experts fear ‘catastrophic impact’ of new cyber regulations,1
17,China opens world's largest solar energy park,0
18,NGOs criticize coal expansion as 'environmentally disastrous',1
19,Mumbai airport reports record passenger traffic this year,0
20,Study finds education reforms 'severely lacking in execution',1
21,Japan unveils next-generation magnetic levitation train,0
22,Opposition calls budget proposals 'anti-poor and regressive',1
23,Indian Navy commissions advanced hydrographic survey vessel,0
24,Report praises Kerala for achieving 100% digital literacy,0
25,Critics slam corporation for 'shameless greenwashing',1
26,UPI records 14 billion transactions in a single month,0
27,Survey suggests youth unemployment remains high globally,0
28,Minister's speech labelled 'divisive' by civil groups,1
29,New airport terminal inaugurated in Guwahati,0
30,Economists warn of 'alarming inflationary pressures',1
31,ISRO successfully tests new reusable launch vehicle,0
32,Farmers protest pricing policy calling it 'exploitative',1
33,India hosts international tech innovation summit,0
34,Opposition alleges 'massive corruption' in procurement deal,1
35,Google announces upgraded AI language translation model,0
36,Teachers condemn policy as 'an attack on academic freedom',1
37,Delhi government issues advisory on rising pollution levels,0
38,Report calls new taxation bill 'economically short-sighted',1
39,Global markets show moderate recovery after last week's dip,0
40,Environmentalists warn of 'irreversible damage' to wetlands,1
41,Railways introduces contactless ticketing system nationwide,0
42,Residents criticize housing plan as 'grossly unfair',1
43,India achieves record agricultural output this season,0
44,Experts call cryptocurrency market 'extremely volatile',1
45,WHO reports decline in global child mortality,0
46,Activists accuse corporation of 'profiting from public suffering',1
47,Bengaluru ranked among top startup ecosystems globally,0
48,Report warns of 'shocking gaps' in cyber infrastructure,1
49,New rural healthcare centres inaugurated across Odisha,0
50,Journalists condemn new bill as 'a direct attack on press freedom',1
51,IIT researchers develop low-cost water purification device,0
52,Study calls global energy policy 'highly unrealistic',1
53,India expands bilateral space cooperation with France,0
54,Critics accuse council of 'completely ignoring public feedback',1
55,New wildlife sanctuary approved in Maharashtra,0
56,Analysts describe market rally as 'artificial and unsustainable',1
57,State government launches nutrition programme for children,0
58,Report labels policy shift 'poorly planned and dangerous',1
59,International community pledges aid for earthquake victims,0
60,Activists call tourism project 'a cultural invasion',1
61,RBI launches pilot CBDC for retail transactions,0
62,Economists warn of 'deepening economic inequality',1
63,India begins trial of drone-based delivery system,0
64,Civil groups criticize new education policy as 'elitist',1
65,Bangladesh inaugurates major cross-river metro corridor,0
66,Experts call new drug pricing rules 'anti-consumer',1
67,Global climate summit opens in Brazil with new commitments,0
68,Opposition labels security bill 'autocratic and dangerous',1
69,Hyderabad becomes fastest-growing IT hub in India,0
70,Report accuses chemical plant of 'gross negligence',1
71,ISRO announces collaboration with European Space Agency,0
72,Critics call water project 'a monumental failure',1
73,India records highest FDI inflow in seven years,0
74,Activists slam 'unchecked corporate control' in policy changes,1
75,New medical college inaugurated in Ladakh,0
76,Economists say fiscal deficit estimates are 'misleading',1
77,UNICEF reports improvement in child vaccination rates,0
78,Opposition calls speech 'filled with baseless claims',1
79,India expands forest cover by 2% this year,0
80,Report finds airline safety standards 'sharply deteriorating',1
81,Researchers discover new species of frog in Western Ghats,0
82,Critics call telecom merger 'a threat to fair competition',1
83,New bullet train corridor approved between Mumbai and Nagpur,0
84,Experts warn of 'looming recession risks' across Asia,1
85,Pune Metro Phase-II construction begins,0
86,Study labels pesticide usage 'dangerously excessive',1
87,India achieves record exports in pharmaceuticals,0
88,Human-rights groups condemn authorities for 'brutal actions',1
89,New solar park inaugurated in Rajasthan,0
90,Report alleges tech company engaged in 'data manipulation',1
91,National highway upgrades completed on schedule,0
92,Critics call new vehicle policy 'unrealistic and burdensome',1
93,India hosts global summit on AI safety,0
94,Opposition accuses minister of 'spreading half-truths',1
95,New biodiversity conservation plan approved,0
96,Economists warn new bill may have 'catastrophic consequences',1
97,India launches major rail electrification initiative,0
98,Activists label mining expansion 'environmentally devastating',1
99,Banks report stable quarterly profit growth,0
100,Public outcry over 'blatantly biased' media coverage grows,1
